
=========== accounts/account3_threads.yaml ===========
  [エラー] post_id=18019030538876936: 400 Client Error: Bad Request for url: https://zernio.com/api/v1/inbox/comments/18019030538876936?accountId=6a843e5477555aae01456e57
  [エラー] post_id=17880513960685610: 400 Client Error: Bad Request for url: https://zernio.com/api/v1/inbox/comments/17880513960685610?accountId=6a843e5477555aae01456e57
  post_id=17985112787866755 | コメント数=0 | 未達
  post_id=18340188040265299 | コメント数=1 | 未達
  post_id=18126505186775201 | コメント数=0 | 未達
  post_id=18179770825418961 | コメント数=0 | 未達
  post_id=17959818084187473 | コメント数=0 | 未達
  post_id=17917654653221763 | コメント数=0 | 未達
  post_id=18067952714718856 | コメント数=1 | 未達
  [エラー] post_id=18107484238871667: 400 Client Error: Bad Request for url: https://zernio.com/api/v1/inbox/comments/18107484238871667?accountId=6a843e5477555aae01456e57
  post_id=18101061971365847 | コメント数=0 | 未達
  post_id=17887322118612220 | コメント数=0 | 未達
  post_id=18121291603675449 | コメント数=0 | 未達
  post_id=17964515607145738 | コメント数=0 | 未達
  post_id=18175235158380173 | コメント数=0 | 未達
  post_id=18104024999038801 | コメント数=0 | 未達
  post_id=17926092654167073 | コメント数=0 | 未達
  post_id=18121894906836954 | コメント数=0 | 未達
  post_id=18066556406733693 | コメント数=0 | 未達
  post_id=18111232090797827 | コメント数=0 | 未達
  post_id=18386586637166332 | コメント数=0 | 未達
  post_id=17929023216147280 | コメント数=0 | 未達
  post_id=18364130980214073 | コメント数=0 | 未達
  post_id=18039381827818998 | コメント数=0 | 未達
  post_id=17954383023238027 | コメント数=0 | 未達
  post_id=18104019043933563 | コメント数=0 | 未達
  post_id=18146548729536333 | コメント数=0 | 未達
  post_id=18110240471023238 | コメント数=0 | 未達
  post_id=17964804831173455 | コメント数=0 | 未達
  post_id=18144273124559581 | コメント数=0 | 未達
  post_id=18077608154373432 | コメント数=0 | 未達
  post_id=17889332607608360 | コメント数=6 | 未達
  post_id=18017796317707582 | コメント数=0 | 未達
  post_id=18059305544610367 | コメント数=0 | 未達
  post_id=18091339586429657 | コメント数=0 | 未達
  post_id=18123885085839412 | コメント数=0 | 未達
  post_id=17929141359146073 | コメント数=1 | 未達
  post_id=18065131766749335 | コメント数=0 | 未達
  post_id=18121354675822390 | コメント数=4 | 未達
  post_id=17875505481548938 | コメント数=8 | 未達
